key,affiliation,uni?
homepages/05/11166,"University of Bochum, Germany",True
homepages/05/593,"University of Stuttgart, Germany",True
homepages/05/2176,"Fachhochschule Bielefeld, Germany",True
homepages/05/3054-10,"TU München, Germany",True
homepages/05/8529,"University of Erlangen-Nuremberg, Germany",True
homepages/45/8919-1,"University of Hannover, L3S Research Center, Germany",True
homepages/45/4509-1,"Karlsruhe Institute of Technology, TECO research group, Germany",True
homepages/45/5355,"University of Passau, Faculty of Computer Science and Mathematics, Germany",True
homepages/45/1559,"TU Darmstadt, Germany",True
homepages/45/1948,"University of Potsdam, HPI, Germany",True
homepages/45/5748,"RWTH Aachen University, Germany",True
